Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-07
Horizontal Delay,0.0527
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.04
,
,
,
Label,
TIME,CH1
5.269824e-02,0.66
5.269824e-02,0.66
5.269824e-02,0.66
5.269824e-02,0.68
5.269824e-02,0.68
5.269824e-02,0.7
5.269824e-02,0.68
5.269824e-02,0.7
5.269824e-02,0.68
5.269824e-02,0.68
5.269824e-02,0.72
5.269824e-02,0.72
5.269824e-02,0.7
5.269824e-02,0.7
5.269824e-02,0.7
5.269824e-02,0.7
5.269824e-02,0.72
5.269824e-02,0.74
5.269824e-02,0.76
5.269824e-02,0.74
5.269824e-02,0.74
5.269825e-02,0.74
5.269825e-02,0.74
5.269825e-02,0.76
5.269825e-02,0.74
5.269825e-02,0.76
5.269825e-02,0.76
5.269825e-02,0.76
5.269825e-02,0.72
5.269825e-02,0.76
5.269825e-02,0.74
5.269825e-02,0.78
5.269825e-02,0.78
5.269825e-02,0.78
5.269825e-02,0.76
5.269825e-02,0.78
5.269825e-02,0.78
5.269825e-02,0.8
5.269825e-02,0.8
5.269825e-02,0.8
5.269825e-02,0.8
5.269825e-02,0.8
5.269825e-02,0.78
5.269825e-02,0.8
5.269825e-02,0.82
5.269825e-02,0.82
5.269826e-02,0.8
5.269826e-02,0.8
5.269826e-02,0.82
5.269826e-02,0.82
5.269826e-02,0.8
5.269826e-02,0.82
5.269826e-02,0.84
5.269826e-02,0.82
5.269826e-02,0.82
5.269826e-02,0.84
5.269826e-02,0.84
5.269826e-02,0.82
5.269826e-02,0.84
5.269826e-02,0.84
5.269826e-02,0.84
5.269826e-02,0.86
5.269826e-02,0.86
5.269826e-02,0.86
5.269826e-02,0.88
5.269826e-02,0.86
5.269826e-02,0.88
5.269826e-02,0.86
5.269826e-02,0.9
5.269826e-02,0.88
5.269826e-02,0.88
5.269827e-02,0.88
5.269827e-02,0.88
5.269827e-02,0.9
5.269827e-02,0.9
5.269827e-02,0.9
5.269827e-02,0.88
5.269827e-02,0.88
5.269827e-02,0.92
5.269827e-02,0.9
5.269827e-02,0.9
5.269827e-02,0.92
5.269827e-02,0.92
5.269827e-02,0.92
5.269827e-02,0.94
5.269827e-02,0.92
5.269827e-02,0.94
5.269827e-02,0.94
5.269827e-02,0.94
5.269827e-02,0.92
5.269827e-02,0.96
5.269827e-02,0.96
5.269827e-02,0.96
5.269827e-02,0.98
5.269827e-02,0.96
5.269827e-02,0.96
5.269828e-02,0.98
5.269828e-02,0.96
5.269828e-02,0.98
5.269828e-02,0.98
5.269828e-02,0.98
5.269828e-02,0.98
5.269828e-02,1
5.269828e-02,0.98
5.269828e-02,0.98
5.269828e-02,1
5.269828e-02,1
5.269828e-02,1
5.269828e-02,1
5.269828e-02,1
5.269828e-02,1.02
5.269828e-02,1.02
5.269828e-02,1.02
5.269828e-02,1
5.269828e-02,1.02
5.269828e-02,1.04
5.269828e-02,1.02
5.269828e-02,1.02
5.269828e-02,1.06
5.269828e-02,1.04
5.269828e-02,1.04
5.269829e-02,1.04
5.269829e-02,1.06
5.269829e-02,1.04
5.269829e-02,1.04
5.269829e-02,1.06
5.269829e-02,1.08
5.269829e-02,1.06
5.269829e-02,1.06
5.269829e-02,1.08
5.269829e-02,1.06
5.269829e-02,1.1
5.269829e-02,1.06
5.269829e-02,1.08
5.269829e-02,1.1
5.269829e-02,1.08
5.269829e-02,1.08
5.269829e-02,1.1
5.269829e-02,1.08
5.269829e-02,1.12
5.269829e-02,1.12
5.269829e-02,1.1
5.269829e-02,1.12
5.269829e-02,1.1
5.269829e-02,1.1
5.269829e-02,1.12
5.269830e-02,1.1
5.269830e-02,1.12
5.269830e-02,1.12
5.269830e-02,1.12
5.269830e-02,1.12
5.269830e-02,1.14
5.269830e-02,1.12
5.269830e-02,1.14
5.269830e-02,1.12
5.269830e-02,1.14
5.269830e-02,1.12
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.14
5.269830e-02,1.14
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.16
5.269830e-02,1.2
5.269830e-02,1.18
5.269831e-02,1.2
5.269831e-02,1.18
5.269831e-02,1.18
5.269831e-02,1.18
5.269831e-02,1.18
5.269831e-02,1.2
5.269831e-02,1.22
5.269831e-02,1.22
5.269831e-02,1.2
5.269831e-02,1.2
5.269831e-02,1.2
5.269831e-02,1.22
5.269831e-02,1.22
5.269831e-02,1.22
5.269831e-02,1.24
5.269831e-02,1.22
5.269831e-02,1.2
5.269831e-02,1.24
5.269831e-02,1.26
5.269831e-02,1.24
5.269831e-02,1.26
5.269831e-02,1.26
5.269831e-02,1.26
5.269831e-02,1.24
5.269831e-02,1.22
5.269832e-02,1.24
5.269832e-02,1.26
5.269832e-02,1.26
5.269832e-02,1.28
5.269832e-02,1.28
5.269832e-02,1.26
5.269832e-02,1.28
5.269832e-02,1.28
5.269832e-02,1.26
5.269832e-02,1.28
5.269832e-02,1.28
5.269832e-02,1.28
5.269832e-02,1.3
5.269832e-02,1.28
5.269832e-02,1.28
5.269832e-02,1.3
5.269832e-02,1.28
5.269832e-02,1.3
5.269832e-02,1.3
5.269832e-02,1.3
5.269832e-02,1.3
5.269832e-02,1.32
5.269832e-02,1.3
5.269832e-02,1.32
5.269832e-02,1.3
5.269833e-02,1.3
5.269833e-02,1.34
5.269833e-02,1.34
5.269833e-02,1.34
5.269833e-02,1.34
